gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
HOU201303310,TEX,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,6,washr001,value,35,32,2,6,0,0,0,2,0,0,0,3,0,7,0,1,0,0,0,24,0,35,9,0,2,1,8,7,3,0,13,0,0,0,0,0,0,0,0,24,6,1,0,0,0,0,0,0,kinsi001,andre001,berkl001,belta001,murpd005,cruzn002,piera001,morem001,martl004,harrm001,piera001,morem001,kinsi001,belta001,andre001,murpd005,martl004,cruzn002,berkl001,20130331,0,HOU03,v,HOU,0,1,0,regular,y,y
HOU201303310,HOU,0,0,0,2,2,3,0,1,,,,,,,,,,,,,,,,,,,,,3,portb001,value,35,32,8,9,0,2,1,7,0,0,0,3,0,13,0,0,0,0,0,27,0,35,6,0,0,0,2,2,3,0,7,0,0,0,0,0,0,1,0,27,7,0,0,0,0,0,0,1,altuj001,wallb001,cartc002,penac001,maxwj002,castj006,domim001,barnb002,ceder002,norrb001,castj006,wallb001,altuj001,domim001,ceder002,cartc002,maxwj002,barnb002,penac001,20130331,0,HOU03,h,TEX,1,0,0,regular,y,y
ARI201304010,SLN,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,2,mathm001,value,31,30,2,5,3,0,0,2,0,0,0,1,0,10,0,0,1,0,0,24,0,38,15,7,0,0,6,5,1,1,8,0,0,0,0,1,0,1,0,24,10,1,1,0,0,0,0,1,jay-j001,carpm002,hollm001,craia001,beltc001,moliy001,descd001,kozmp001,waina001,waina001,moliy001,craia001,descd001,carpm002,kozmp001,hollm001,jay-j001,beltc001,,20130401,0,PHO01,v,ARI,0,1,0,regular,y,y
ARI201304010,ARI,0,0,0,3,1,0,2,0,,,,,,,,,,,,,,,,,,,,,8,gibsk001,value,38,36,6,15,7,0,0,5,0,1,0,1,1,8,0,1,1,0,0,27,0,31,5,3,0,0,2,2,1,0,10,0,0,0,0,0,0,0,0,27,13,0,1,0,0,0,0,0,parrg001,pradm001,hilla001,montm001,goldp001,kubej002,polla001,pennc001,kenni001,kenni001,montm001,goldp001,hilla001,pradm001,pennc001,kubej002,polla001,parrg001,,20130401,0,PHO01,h,SLN,1,0,0,regular,y,y
ATL201304010,PHI,0,0,0,1,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,8,manuc101,value,40,36,5,10,1,1,1,5,0,0,0,4,1,6,1,0,1,0,0,24,0,36,10,3,0,3,7,7,3,0,8,0,0,0,0,0,0,0,0,24,9,0,1,0,0,0,0,0,reveb001,rollj001,utlec001,howar001,younm003,browd004,maybj001,krate001,hamec001,hamec001,krate001,howar001,utlec001,younm003,rollj001,browd004,reveb001,maybj001,,20130401,0,ATL02,v,ATL,0,1,0,regular,y,y
ATL201304010,ATL,2,1,1,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,5,gonzf801,value,36,33,7,10,3,0,3,6,0,0,0,3,0,8,0,0,1,0,0,27,0,40,10,1,1,1,5,5,4,1,6,0,2,0,0,0,1,0,0,27,11,0,1,0,0,2,1,0,simma001,heywj001,uptoj001,freef001,uptob001,uggld001,johnc003,lairg001,hudst001,hudst001,lairg001,freef001,uggld001,johnc003,simma001,uptoj001,uptob001,heywj001,,20130401,0,ATL02,h,PHI,1,0,0,regular,y,y
CHA201304010,KCA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,8,yoste001,value,35,32,0,7,0,0,0,0,0,0,0,3,0,9,2,0,2,0,0,24,0,33,8,0,0,1,1,1,1,0,9,0,0,0,0,0,1,0,0,24,6,0,0,0,0,0,1,0,gorda001,escoa003,butlb003,mousm001,peres002,hosme001,cainl001,franj004,getzc001,shiej002,peres002,hosme001,getzc001,mousm001,escoa003,gorda001,cainl001,franj004,butlb003,20130401,0,CHI12,v,CHA,0,1,0,regular,y,y
CHA201304010,CHA,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,8,ventr001,value,33,32,1,8,0,0,1,1,0,0,0,1,0,9,1,0,0,0,0,27,0,35,7,0,0,0,0,0,3,0,9,0,1,0,0,0,2,0,0,27,12,0,2,0,0,1,2,0,deaza001,keppj001,riosa002,dunna001,konep001,vicid001,ramia003,flowt001,beckg001,salec001,flowt001,konep001,beckg001,keppj001,ramia003,vicid001,deaza001,riosa002,dunna001,20130401,0,CHI12,h,KCA,1,0,0,regular,y,y
CIN201304010,ANA,0,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,12,sciom001,value,54,45,3,6,0,1,1,3,1,0,1,7,2,17,0,0,0,0,1,39,0,50,3,1,0,0,1,1,5,2,13,1,1,0,2,0,0,0,0,39,14,3,0,0,0,1,0,0,troum001,aybae001,pujoa001,hamij003,trumm001,kendh001,calla001,iannc001,weavj003,weavj003,iannc001,pujoa001,kendh001,calla001,aybae001,trumm001,troum001,hamij003,,20130401,0,CIN09,v,CIN,1,0,0,regular,y,y
CIN201304010,CIN,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,10,baked002,value,50,42,1,3,1,0,0,0,2,0,1,5,2,13,0,0,0,0,2,39,0,54,6,0,1,1,3,3,7,2,17,1,0,0,1,0,0,0,0,39,13,1,0,0,0,0,0,0,choos001,philb001,vottj001,ludwr001,brucj001,frazt001,cozaz001,hanir001,cuetj001,cuetj001,hanir001,vottj001,philb001,frazt001,cozaz001,ludwr001,choos001,brucj001,,20130401,0,CIN09,h,ANA,0,1,0,regular,y,y
