gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
CHN201504050,waina001,SLN,1,value,18,0,23,5,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,,,1,,,20150405,0,CHI11,v,CHN,1,0,0,regular,y,y
CHN201504050,martc006,SLN,2,value,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,,,,,,20150405,0,CHI11,v,CHN,1,0,0,regular,y,y
CHN201504050,waldj001,SLN,3,value,3,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,,,,,,20150405,0,CHI11,v,CHN,1,0,0,regular,y,y
CHN201504050,roset001,SLN,4,value,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,1,,1,,20150405,0,CHI11,v,CHN,1,0,0,regular,y,y
CHN201504050,lestj001,CHN,1,value,13,0,22,8,2,0,0,3,3,2,0,6,0,0,0,0,0,3,1,0,,1,,1,,,20150405,0,CHI11,h,SLN,0,1,0,regular,y,y
CHN201504050,cokep001,CHN,2,value,2,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,,20150405,0,CHI11,h,SLN,0,1,0,regular,y,y
CHN201504050,mottj001,CHN,3,value,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20150405,0,CHI11,h,SLN,0,1,0,regular,y,y
CHN201504050,ramin001,CHN,4,value,3,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,20150405,0,CHI11,h,SLN,0,1,0,regular,y,y
CHN201504050,strop001,CHN,5,value,3,0,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,20150405,0,CHI11,h,SLN,0,1,0,regular,y,y
CHN201504050,rondh001,CHN,6,value,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,1,,20150405,0,CHI11,h,SLN,0,1,0,regular,y,y
